,code,title,points_r1_2021,points_r1_2020,points_r1_2019
570,TU876,Pharmaceutical Science,445,309,366
571,TU877,Physics Technology,314,340,381
572,TU878,Physics with Energy and Environment,339,309,356
573,TU879,Physics with Medical Physics and Bioengineering,346,280,301
574,TU880,Physics with Data Science,412,280,445
575,TU881,Food Innovation,309,280,517
576,TU882,Nutraceuticals in Health and Nutrition,380,299,408
577,TU902,Business (options),270,289,310
578,TU903,Business and Management,477,260,270
579,TU904,Business and Law,462,241,340
580,TU905,Economics and Finance,460,281,376
581,TU906,Human Resource Management,386,327,368
582,TU907,Logistics and Supply Chain Management,300,337,440*
583,TU910,Accounting,420,336,369
584,TU912,Business Analytics,331,363,269
